Author ;Date ;Poems ;Words 
Acuña, Hernando de ;1518-1580 ;84;7885
Aldana, Francisco de ;1537-1578 ;43;4231
Almeida, Juan de ;1542-1572 ;42;4036
Argensola, Bartolomé ;1562-1631 ;158;14654
Argensola, Lupercio ;1559-1613 ;60;5507
Arguijo, Juan de ;1567-1623 ;70;6290
Bocángel y Unzueta ;1603-1658 ;77;7166
Borja, Francisco de ;1581-1658 ;142;12903
Boscán, Juan ;1490-1542 ;100;9589
Carrillo y Sotomayor, Luis ;1585-1610 ;50;4747
Cervantes, Miguel de ;1547-1616 ;77;7347
Cetina, Gutierre de ;1520-1557 ;247;23762
Cruz, Sor Juana Inés de la ;1651-1695 ;72;6556
